date,permno,tic,conm,PRC,atq,dlcq,dlttq,SHROUT,market_cap,total_debt,leverage,log_return,equity_volatility,rf,merton_pd,pd_valid
2010-06-24,86868,GS,GOLDMAN SACHS GROUP INC,134.98,880528000000.0,345224000000.0,193609000000.0,514789.0,69486219220.0,442028500000.0,0.6119430614358657,-0.0006666172930947,0.3309818562245498,3.14,,False
2010-06-28,86868,GS,GOLDMAN SACHS GROUP INC,136.66,880528000000.0,345224000000.0,193609000000.0,514789.0,70351064740.0,442028500000.0,0.6119430614358657,-0.0217148080652569,0.3328266569623445,3.05,,False
2010-06-29,86868,GS,GOLDMAN SACHS GROUP INC,133.75999,880528000000.0,345224000000.0,193609000000.0,514789.0,68858171492.11,442028500000.0,0.6119430614358657,-0.0214490147770091,0.3330056117308,2.97,,False
2010-07-06,86868,GS,GOLDMAN SACHS GROUP INC,132.25999,883188000000.0,349633000000.0,190984000000.0,514789.0,68085987992.11,445125000000.0,0.6121199563399865,0.0089617828072496,0.3317368573002238,2.95,,False
2010-07-07,86868,GS,GOLDMAN SACHS GROUP INC,135.83,883188000000.0,349633000000.0,190984000000.0,514789.0,69923789870.0,445125000000.0,0.6121199563399865,0.0266344971965357,0.3317450502293114,3.0,,False
2010-07-08,86868,GS,GOLDMAN SACHS GROUP INC,135.46001,883188000000.0,349633000000.0,190984000000.0,514789.0,69733323087.89,445125000000.0,0.6121199563399865,-0.0027276362251138,0.3305453157321992,3.04,,False
2011-08-22,86868,GS,GOLDMAN SACHS GROUP INC,106.51,936910000000.0,388152000000.0,183221000000.0,507856.0,54091742560.0,479762500000.0,0.6098483312164455,-0.048114837493632,0.2695015471681108,2.1,,False
2011-08-23,86868,GS,GOLDMAN SACHS GROUP INC,106.86,936910000000.0,388152000000.0,183221000000.0,507856.0,54269492160.0,479762500000.0,0.6098483312164455,0.0032806890745509,0.2689373462919561,2.15,,False
2011-08-24,86868,GS,GOLDMAN SACHS GROUP INC,110.31,936910000000.0,388152000000.0,183221000000.0,507856.0,56021595360.0,479762500000.0,0.6098483312164455,0.0317750174516649,0.2708797992271601,2.29,,False
2011-08-25,86868,GS,GOLDMAN SACHS GROUP INC,109.84,936910000000.0,388152000000.0,183221000000.0,507856.0,55782903040.0,479762500000.0,0.6098483312164455,-0.0042698225215746,0.2702299106363431,2.23,,False
